CPU Utilization [%],Sampling Rate [µs],Threshold [%],Modeled Arrival Rate [jobs/s],Measured Arrival Rate [jobs/s],Measured Mean Service Time [ms],Measured Mean Service Rate [jobs/s],Modeled MRT (k/λ) [ms],Modeled MRT (W+S) [ms],Measured MRT [ms],Measured Mean Interarrival Time [ms],Modeled Utilization [%],Modeled Busy Probability (1-π₀),Measured Utilization [%],Highest State,Measured Mean CPU Time [ms],Measured Mean CORE Frequency [KHz],Modeled CORE Power [W],Measured CORE Power [W]
10,10000,75,0.89,0.84,113.09,8.84,119.92,132.8,120.36,1.19,9.48,10.54,9.56,2,113.07,1274232,0.82,None
10,10000,75,0.89,0.92,113.63,8.8,120.17,103.61,120.33,1.08,10.49,8.84,10.57,2,113.61,1328683,0.84,None
10,10000,75,0.89,0.93,113.84,8.78,119.06,87.66,119.23,1.08,10.53,7.93,10.63,2,113.83,1343212,0.85,None
10,10000,75,0.89,0.93,113.28,8.83,120.13,139.24,120.3,1.08,10.52,12.57,10.61,2,113.26,1317516,0.84,None
10,10000,75,0.89,0.87,113.31,8.83,117.46,95.79,117.65,1.15,9.86,8.33,9.95,1,113.3,1307138,0.83,None
10,10000,75,0.89,0.89,114.09,8.77,120.19,106.91,120.36,1.12,10.17,8.97,10.27,2,114.07,1330419,0.84,None
10,10000,75,0.89,0.86,114.04,8.77,121.88,144.78,122.05,1.16,9.79,11.65,9.87,2,114.03,1287916,0.82,None
10,10000,75,0.89,0.91,113.34,8.82,124.95,190.5,125.11,1.09,10.33,14.81,10.43,3,113.32,1312154,0.83,None
10,10000,75,0.89,0.9,114.03,8.77,120.61,111.32,120.79,1.12,10.21,9.4,10.32,2,114.02,1350692,0.85,None
10,10000,75,0.89,0.88,112.8,8.87,117.39,93.25,117.56,1.14,9.89,7.98,9.98,2,112.78,1611525,1,None
20,10000,75,1.78,1.9,111.65,8.96,126.03,120.71,126.12,0.53,21.19,20.72,21.24,3,111.63,1726816,1.15,None
20,10000,75,1.78,1.75,111.65,8.96,125.19,123.03,125.27,0.57,19.56,18.98,19.61,3,111.63,1677203,1.1,None
20,10000,75,1.78,1.74,112,8.93,125.94,124.72,126.04,0.57,19.51,19.23,19.56,3,111.98,1676635,1.1,None
20,10000,75,1.78,1.81,112.29,8.91,128.65,135.83,128.74,0.55,20.32,21.64,20.39,4,112.27,1667814,1.09,None
20,10000,75,1.78,1.9,112.01,8.93,128.14,131.35,128.22,0.53,21.23,21.28,21.27,3,112,1691279,1.12,None
20,10000,75,1.78,1.8,112.89,8.86,128.61,134.72,128.62,0.55,20.34,20.57,20.37,3,112.87,1678565,1.1,None
20,10000,75,1.78,1.79,111.83,8.94,124.24,113.66,124.32,0.56,20.02,18.16,20.07,3,111.8,1658684,1.08,None
20,10000,75,1.78,1.74,112.36,8.9,126.19,122.86,126.2,0.58,19.49,19.59,19.54,2,112.34,1645106,1.07,None
20,10000,75,1.78,1.8,111.51,8.97,125.01,120.01,125.1,0.56,20.02,19.68,20.06,2,111.49,1713902,1.13,None
20,10000,75,1.78,1.8,111.82,8.94,125.43,123.17,125.52,0.56,20.11,20.3,20.17,3,111.79,1648981,1.08,None
30,10000,75,2.67,2.61,111.22,8.99,133.16,127.43,133.17,0.38,28.97,27.69,29,4,111.2,1850515,1.29,None
30,10000,75,2.67,2.77,110.91,9.02,138.8,149.7,138.86,0.36,30.74,32.83,30.77,3,110.89,1876943,1.32,None
30,10000,75,2.67,2.71,111.21,8.99,132.9,124.52,132.96,0.37,30.12,29.05,30.15,3,111.19,1884422,1.33,None
30,10000,75,2.67,2.66,111.56,8.96,133.38,126.26,133.43,0.38,29.62,27.9,29.64,4,111.53,1802800,1.25,None
30,10000,75,2.67,2.63,111.25,8.99,133.9,136.69,133.96,0.38,29.28,30.4,29.29,4,111.22,1822516,1.27,None
30,10000,75,2.67,2.67,111.44,8.97,134.2,131.09,134.26,0.37,29.74,28.61,29.74,3,111.41,1836394,1.28,None
30,10000,75,2.67,2.66,111.4,8.98,131.81,119.13,131.87,0.38,29.67,27.66,29.7,3,111.38,1829174,1.27,None
30,10000,75,2.67,2.57,111.86,8.94,131.73,123.62,131.79,0.39,28.69,27.39,28.71,4,111.83,1803079,1.25,None
30,10000,75,2.67,2.71,111.6,8.96,133.3,125.16,133.36,0.37,30.19,29.05,30.2,3,111.57,1821470,1.27,None
30,10000,75,2.67,2.68,111.31,8.98,135.9,140.5,135.96,0.37,29.87,30.87,29.88,5,111.29,1820501,1.27,None
40,10000,75,3.56,3.65,110.47,9.05,146.39,143.98,146.43,0.27,40.36,39.92,40.34,5,110.44,1972445,1.45,None
40,10000,75,3.56,3.69,110.51,9.05,147.04,145.17,147.08,0.27,40.78,40.74,40.74,4,110.49,2006988,1.49,None
