CPU Utilization [%],Sampling Rate [µs],Threshold [%],Modeled Arrival Rate [jobs/s],Measured Arrival Rate [jobs/s],Measured Mean Service Time [ms],Measured Mean Service Rate [jobs/s],Modeled MRT (k/?) [ms],Modeled MRT (W+S) [ms],Measured MRT [ms],Measured Mean Interarrival Time [ms],Modeled Utilization [%],Modeled Busy Probability (1-??),Measured Utilization [%],Highest State,Measured Mean CPU Time [ms],Measured Mean CORE Frequency [KHz],Modeled CORE Power [W],Measured CORE Power [W],,,,ceff
10,10000,75,0.89,0.838333333,113.087876,8.84268089,119.9243985,132.8015999,120.361023,1.190798186,9.480533605,10.53677932,9.56,2,113.070328,1274232,0.816828691,None,0.816828608,,,1.13749E-06
10,10000,75,0.89,0.923333333,113.629122,8.800560828,120.1677315,103.6114116,120.33343,1.082632655,10.4917556,8.844765343,10.57,2,113.607936,1328683,0.841916105,None,0.841916028,,,
10,10000,75,0.89,0.925,113.840326,8.784233453,119.0597466,87.65522279,119.229611,1.078381974,10.53023016,7.927927928,10.63,2,113.825383,1343212,0.848004733,None,0.848004677,,,
10,10000,75,0.89,0.928333333,113.275139,8.82806244,120.127404,139.2429951,120.301431,1.076236787,10.51570874,12.56732496,10.61,2,113.260216,1317516,0.837500362,None,0.837500362,,,
10,10000,75,0.89,0.87,113.312477,8.825153474,117.4630734,95.78544061,117.648016,1.149357461,9.858185499,8.333333333,9.95,1,113.295794,1307138,0.831295798,None,0.831295729,,,
10,10000,75,0.89,0.891666667,114.088938,8.765091669,120.194484,106.9089003,120.364153,1.120802749,10.17293031,8.971962617,10.27,2,114.071982,1330419,0.841702018,None,0.841701998,,,
10,10000,75,0.89,0.858333333,114.044093,8.768538323,121.875017,144.7827316,122.050369,1.163794656,9.788784649,11.65048544,9.87,2,114.02622,1287916,0.82327617,None,0.823276115,,,
10,10000,75,0.89,0.911666667,113.338913,8.82309503,124.9485671,190.502291,125.113307,1.092973688,10.3327309,14.80804388,10.43,3,113.321794,1312154,0.83477728,None,0.834777294,,,
10,10000,75,0.89,0.895,114.032184,8.769454069,120.6091264,111.3157101,120.787361,1.117177043,10.20588047,9.404096834,10.32,2,114.015263,1350692,0.850080409,None,0.850080298,,,
10,10000,75,0.89,0.876666667,112.795353,8.865613462,117.3902519,93.24986627,117.557359,1.138640615,9.888392613,7.984790875,9.98,2,112.779656,1611525,1.004983405,None,1.004983405,,,
20,10000,75,1.78,1.898333333,111.649041,8.956637612,126.0276068,120.7102945,126.115698,0.526497555,21.19470962,20.71992976,21.24,3,111.630996,1726816,1.148497002,None,1.148497085,,,
20,10000,75,1.78,1.751666667,111.649323,8.95661499,125.1887036,123.0308501,125.273483,0.570792037,19.55723975,18.98192198,19.61,3,111.628233,1677203,1.09842853,None,1.098428447,,,
20,10000,75,1.78,1.741666667,111.995763,8.928909212,125.9422545,124.7224194,126.036509,0.57385707,19.50592872,19.23444976,19.56,3,111.977335,1676635,1.097736274,None,1.097736357,,,
