CPU Utilization [%],Sampling Rate [µs],Threshold [%],Modeled Arrival Rate [jobs/s],Measured Arrival Rate [jobs/s],Measured Mean Service Time [ms],Measured Mean Service Rate [jobs/s],Modeled MRT (k/λ) [ms],Modeled MRT (W+S) [ms],Measured MRT [ms],Measured Mean Interarrival Time [ms],Modeled Utilization [%],Modeled Busy Probability (1-π₀),Measured Utilization [%],Highest State,Measured Mean CPU Time [ms],Measured Mean CORE Frequency [KHz],Modeled CORE Power [W],Measured CORE Power [W]
10,10000,75,0.86,0.81,122.88,8.14,117.7,129.18,129.21,1.24,9.91,9.08,9.96,2,122.8,1596410,0.75,3.33
10,10000,75,0.86,0.87,121.94,8.2,158,132.39,132.41,1.15,10.55,12.51,10.6,2,121.87,1560490,0.76,1.09
10,10000,75,0.86,0.84,122.44,8.17,132.67,129.87,129.89,1.19,10.26,10.92,10.32,2,122.36,1546370,0.75,0.99
10,10000,75,0.86,0.93,122.92,8.14,122.78,130.05,130.07,1.07,11.45,11.08,11.5,2,122.82,1623460,0.78,1.15
10,10000,75,0.86,0.92,122.01,8.2,139.22,130.63,130.66,1.09,11.16,12.01,11.21,2,121.89,1645440,0.78,1.33
10,10000,75,0.86,0.89,121.68,8.22,112.25,129.07,129.1,1.13,10.79,9.2,10.84,2,121.61,1600680,0.77,1.03
10,10000,75,0.86,0.87,121.54,8.23,155,132.14,132.16,1.14,10.61,11.63,10.67,3,121.44,1599040,0.76,1.09
10,10000,75,0.86,0.94,122.17,8.19,134.27,130.56,130.59,1.06,11.5,12.11,11.55,2,122.11,1645490,0.78,1.03
10,10000,75,0.86,0.83,122.17,8.19,149.25,130.36,130.38,1.2,10.16,12.01,10.21,2,122.08,1577950,0.76,1.11
10,10000,75,0.86,0.85,122.44,8.17,120.31,129.63,129.66,1.18,10.39,9.81,10.44,2,122.32,1606290,0.76,1.07
20,10000,75,1.72,1.68,121.84,8.21,141.06,138.54,138.55,0.59,20.47,20.03,20.47,4,121.72,1814850,0.94,1.6
20,10000,75,1.72,1.7,122.21,8.18,123.45,136.29,136.3,0.59,20.82,18.78,20.82,3,122.11,1833860,0.95,1.59
20,10000,75,1.72,1.68,121.56,8.23,135.4,136.56,136.57,0.6,20.38,19.82,20.38,3,121.43,1812110,0.94,1.64
20,10000,75,1.72,1.77,122.12,8.19,132.08,137.79,137.8,0.57,21.55,21.05,21.55,2,121.98,1858140,0.97,1.69
20,10000,75,1.72,1.71,121.88,8.2,137.31,139.04,139.05,0.58,20.86,20.78,20.86,3,121.75,1844740,0.96,1.48
20,10000,75,1.72,1.71,121.67,8.22,136.73,137.93,137.95,0.58,20.81,21.14,20.81,3,121.58,1871330,0.96,1.54
20,10000,75,1.72,1.71,121.63,8.22,137.55,137.66,137.68,0.59,20.76,21.13,20.76,2,121.53,1815660,0.95,1.54
20,10000,75,1.72,1.72,122.06,8.19,145.56,139.64,139.65,0.58,20.93,21.47,20.94,3,121.97,1815000,0.95,1.37
20,10000,75,1.72,1.68,122.12,8.19,138.74,138.6,138.61,0.59,20.56,20.68,20.56,3,121.97,1812000,0.95,2.26
20,10000,75,1.72,1.74,121.49,8.23,137.53,138.12,138.13,0.58,21.1,21.01,21.09,3,121.34,1833600,0.96,1.6
30,10000,75,2.58,2.62,121.79,8.21,144.91,149.03,149.03,0.38,31.87,31.36,31.82,4,121.66,1925960,1.16,1.95
