CPU Utilization [%],Sampling Rate [µs],Threshold [%],Modeled Arrival Rate [jobs/s],Measured Arrival Rate [jobs/s],Measured Mean Service Time [ms],Measured Mean Service Rate [jobs/s],Modeled MRT (k/?) [ms],Modeled MRT (W+S) [ms],Measured MRT [ms],Measured Mean Interarrival Time [ms],Modeled Utilization [%],Modeled Busy Probability (1-??),Measured Utilization [%],Highest State,Measured Mean CPU Time [ms],Measured Mean CORE Frequency [KHz],Modeled CORE Power [W],Measured CORE Power [W],,,,ceff
10,10000,75,0.86,0.806666667,122.877751,8.138169781,117.698232,129.1779655,129.208934,1.239123429,9.912138581,9.081527348,9.96,2,122.80237,1596410,0.754407504,3.328333333,,,,1.72773E-05
10,10000,75,0.86,0.865,121.942628,8.200577734,157.9998554,132.3853301,132.409559,1.150496345,10.54803732,12.5120308,10.6,2,121.865279,1560490,0.75937725,1.0875,,,,
10,10000,75,0.86,0.838333333,122.437311,8.167444971,132.6697215,129.8690406,129.89419,1.192029429,10.26432791,10.92353525,10.32,2,122.36415,1546370,0.754019989,0.991666667,,,,
10,10000,75,0.86,0.931666667,122.922944,8.135177758,122.7776525,130.0516996,130.074201,1.072698809,11.45232095,11.08132261,11.5,2,122.820666,1623460,0.779153111,1.1545,,,,
10,10000,75,0.86,0.915,122.013728,8.195799083,139.2224427,130.6323271,130.655176,1.091772799,11.16425611,12.01091902,11.21,2,121.894146,1645440,0.777581905,1.325333333,,,,
10,10000,75,0.86,0.886666667,121.683938,8.218011485,112.2524621,129.0734951,129.096645,1.126681778,10.78930917,9.201877934,10.84,2,121.61406,1600680,0.76719543,1.0265,,,,
10,10000,75,0.86,0.873333333,121.53869,8.227832635,155.0004002,132.1354268,132.158121,1.141518654,10.61437893,11.63012393,10.67,3,121.444736,1599040,0.76462909,1.0895,,,,
10,10000,75,0.86,0.941666667,122.17283,8.18512594,134.2691486,130.5648102,130.587435,1.061776575,11.50460816,12.11317418,11.55,2,122.105384,1645490,0.782488411,1.0345,,,,
10,10000,75,0.86,0.831666667,122.173265,8.185096797,149.2474438,130.3581494,130.38333,1.200421087,10.16074321,12.01201201,10.21,2,122.075264,1577950,0.755921168,1.112833333,,,,
10,10000,75,0.86,0.848333333,122.438546,8.167362589,120.3074782,129.6312407,129.656556,1.178466962,10.38686999,9.813542689,10.44,2,122.321869,1606290,0.762200636,1.0725,,,,
20,10000,75,1.72,1.68,121.843565,8.207245085,141.0628704,138.536513,138.548759,0.594485909,20.46971892,20.02974715,20.47,4,121.717853,1814850,0.94446722,1.601166667,,,,
20,10000,75,1.72,1.703333333,122.206697,8.182857606,123.4455667,136.291866,136.304405,0.586617699,20.81587406,18.77750611,20.82,3,122.110628,1833860,0.953839438,1.589833333,,,,
20,10000,75,1.72,1.676666667,121.556241,8.226644652,135.4021919,136.5593077,136.571481,0.596355271,20.38092974,19.82116244,20.38,3,121.430976,1812110,0.942498133,1.636666667,,,,
20,10000,75,1.72,1.765,122.120923,8.188604994,132.0843254,137.7903245,137.80263,0.566251521,21.55434291,21.04766399,21.55,2,121.976381,1858140,0.970585169,1.6925,,,,
20,10000,75,1.72,1.711666667,121.877585,8.204954176,137.3144088,139.037818,139.049429,0.584148023,20.86137997,20.77858881,20.86,3,121.750438,1844740,0.956665323,1.476333333,,,,
20,10000,75,1.72,1.71,121.674393,8.218656164,136.7275959,137.9339185,137.949998,0.584519467,20.8063212,21.13979542,20.81,3,121.577974,1871330,0.961181635,1.536666667,,,,
20,10000,75,1.72,1.706666667,121.631796,8.221534442,137.5480417,137.6635058,137.675611,0.585842741,20.75849318,21.13225964,20.76,2,121.531175,1815660,0.949239286,1.539333333,,,,
20,10000,75,1.72,1.715,122.061023,8.192623455,145.5602015,139.6375462,139.649494,0.581685599,20.93346544,21.46673142,20.94,3,121.965481,1815000,0.951969177,1.3725,,,,
20,10000,75,1.72,1.683333333,122.115168,8.188990904,138.7412368,138.6007183,138.613324,0.593839047,20.55605328,20.68283028,20.56,3,121.965979,1812000,0.94533355,2.263666667,,,,
20,10000,75,1.72,1.736666667,121.493428,8.230897889,137.5329679,138.1210422,138.132747,0.575749713,21.09935866,21.00719424,21.09,3,121.337443,1833600,0.958123982,1.595166667,,,,
30,10000,75,2.58,2.616666667,121.792051,8.210716478,144.9090212,149.0273656,149.032145,0.382121118,31.86892001,31.35943967,31.82,4,121.660896,1925960,1.157866066,1.951333333,,,,
30,10000,75,2.58,2.536666667,121.801449,8.210082952,158.0756459,151.2144153,151.22249,0.394122912,30.89696756,32.61083744,30.85,5,121.686914,1914460,1.138187469,1.9845,,,,
30,10000,75,2.58,2.566666667,121.2399,8.248109739,161.1047181,152.2101985,152.218139,0.38832385,31.118241,31.7429406,31.06,4,121.081467,1907260,1.139620989,2.006166667,,,,
30,10000,75,2.58,2.538333333,121.588873,8.224436787,153.0842797,151.0361184,151.044675,0.393376949,30.86330893,30.91565474,30.81,4,121.456807,1922890,1.139943095,1.909833333,,,,
30,10000,75,2.58,2.62,121.44975,8.233858036,156.555298,151.5533658,151.56112,0.381522721,31.8198345,32.87758347,31.77,4,121.344973,1920120,1.155292488,2.1145,,,,
30,10000,75,2.58,2.57,121.539548,8.227774551,159.0474809,152.1822201,152.189944,0.388992949,31.23566384,31.86385737,31.17,4,121.377361,1923400,1.14615524,2.081833333,,,,
30,10000,75,2.58,2.646666667,122.122992,8.188466264,157.3415346,153.4433928,153.451313,0.377800822,32.32188522,33.14447592,32.26,4,121.983906,1930420,1.166629518,1.948,,,,
30,10000,75,2.58,2.451666667,121.950077,8.200076823,146.2179784,148.2138327,148.221909,0.407843276,29.89809388,29.1879035,29.86,5,121.818442,1915710,1.121934668,1.910333333,,,,
30,10000,75,2.58,2.465,122.124432,8.188369711,154.3748333,150.6105727,150.618821,0.405361428,30.10367249,31.42953701,30.07,5,122.024341,1923000,1.127509683,1.957666667,,,,
30,10000,75,2.58,2.541666667,121.679659,8.21830048,136.1767977,145.6403496,145.648193,0.393285195,30.92691333,29.03965913,30.88,4,121.523848,1909290,1.137199305,1.717666667,,,,
40,10000,75,3.44,3.466666667,121.187624,8.251667679,165.1322722,165.0859879,165.093217,0.288437998,42.01170965,42.22542658,41.91,4,121.060657,1979950,1.348880204,2.5305,,,,
40,10000,75,3.44,3.371666667,121.510249,8.229758463,158.4447497,162.1299406,162.135971,0.296461217,40.96920562,40.22732889,40.86,4,121.348084,1951110,1.31982951,2.577333333,,,,
40,10000,75,3.44,3.328333333,121.849057,8.206875167,153.1960018,160.3356954,160.342193,0.300404886,40.5554278,39.42428035,40.45,5,121.717971,1956690,1.31489952,2.589333333,,,,
40,10000,75,3.44,3.378333333,121.562512,8.226220268,158.9150658,162.8002583,162.806195,0.295963186,41.06786864,40.76448829,40.97,4,121.457617,1975430,1.330873997,2.4785,,,,
40,10000,75,3.44,3.358333333,121.272266,8.245908426,173.075538,166.3019932,166.30836,0.297717057,40.72726933,43.04142893,40.62,5,121.126014,1965130,1.320967849,2.446166667,,,,
40,10000,75,3.44,3.261666667,121.548485,8.227169594,148.166421,159.0893376,159.095683,0.306204183,39.64506419,36.98595147,39.54,4,121.386192,1979170,1.307491829,2.7605,,,,
40,10000,75,3.44,3.44,121.687315,8.217783423,172.9823652,168.7838905,168.791088,0.29061376,41.86043636,42.69798983,41.73,6,121.504193,1958360,1.337478892,2.453333333,,,,
40,10000,75,3.44,3.41,121.257856,8.24688835,169.5190917,166.708149,166.7141,0.293192432,41.3489289,41.11898363,41.24,5,121.109757,1978920,1.336869454,2.8685,,,,
40,10000,75,3.44,3.273333333,121.575677,8.225329479,155.4320347,159.730325,159.737324,0.30541226,39.7957716,39.78111479,39.71,4,121.456034,1968590,1.306568991,2.717333333,,,,
40,10000,75,3.44,3.416666667,121.551022,8.226997877,161.7214124,164.3448912,164.350934,0.292523191,41.52993252,40.96561814,41.41,6,121.39298,1960650,1.332861239,2.761666667,,,,
50,10000,75,4.3,4.151666667,121.569975,8.225715272,181.9917144,183.9218912,183.926756,0.24083816,50.47180129,49.86955649,50.3,6,121.419487,1998250,1.502784186,3.4895,,,,
50,10000,75,4.3,4.19,121.212672,8.249962512,169.8027336,177.0957606,177.101055,0.238637708,50.78810957,49.33386359,50.63,6,121.06544,1997880,1.508389722,3.234166667,,,,
50,10000,75,4.3,4.335,121.701401,8.216832278,191.4430966,190.021555,190.026422,0.230614432,52.75755733,52.93100135,52.56,5,121.517866,2010990,1.548437109,3.398333333,,,,
50,10000,75,4.3,4.268333333,121.329779,8.241999683,198.7499546,192.6373377,192.642046,0.234242039,51.787594,52.33261761,51.64,6,121.224456,1995650,1.525016585,3.499333333,,,,
50,10000,75,4.3,4.358333333,121.707186,8.216441714,197.8644008,193.8394778,193.844116,0.229302677,53.04404857,54.54024087,52.87,6,121.545927,1998020,1.547658443,3.287666667,,,,
50,10000,75,4.3,4.503333333,121.663575,8.219386945,200.9406812,198.3793661,198.383973,0.222023928,54.78916328,55.59666975,54.61,7,121.533003,2003010,1.580588228,3.4645,,,,
50,10000,75,4.3,4.34,121.490736,8.231080269,192.1081291,190.5395938,190.544296,0.230332186,52.72697942,53.92589749,52.56,6,121.348805,1996110,1.541319219,3.287666667,,,,
50,10000,75,4.3,4.215,121.425754,8.2354852,166.3877515,177.9859954,177.992788,0.237171594,51.18095531,48.30994268,51.02,6,121.266644,2001260,1.516786198,3.138666667,,,,
50,10000,75,4.3,4.221666667,121.282678,8.245200522,196.3893071,189.7461483,189.751267,0.236868119,51.2015039,52.51628182,51.05,7,121.143422,1994940,1.514372509,3.1835,,,,
50,10000,75,4.3,4.36,121.093998,8.258047604,194.6451331,192.2923397,192.297284,0.229331779,52.79698313,53.52570227,52.63,6,120.963683,2008480,1.548467986,3.531166667,,,,
60,10000,75,5.16,5.098333333,121.168164,8.252992923,207.457829,212.387551,212.392594,0.196112972,61.77556895,61.17012584,61.54,8,121.001949,2033480,1.719151095,3.9965,,,,
60,10000,75,5.16,5.108333333,121.43798,8.234656077,238.2883977,231.2465573,231.250402,0.195741006,62.03456812,62.22475942,61.82,12,121.314488,2027570,1.720832134,3.603666667,,,,
60,10000,75,5.16,5.328333333,121.243168,8.247887419,225.5046084,228.577212,228.581927,0.187513252,64.60240135,64.42533229,64.37,8,121.112232,2034170,1.769961782,4.2345,,,,
60,10000,75,5.16,5.096666667,121.486714,8.231352772,216.9275325,218.4789598,218.48311,0.196177349,61.91772857,62.10560732,61.69,7,121.337342,2026880,1.718137999,3.905,,,,
60,10000,75,5.16,5.196666667,121.08103,8.258932056,232.786955,228.8179185,228.821888,0.192263534,62.92177526,63.50809684,62.69,8,120.94651,2026420,1.735631778,3.9805,,,,
60,10000,75,5.16,5.136666667,121.132275,8.255438115,235.2250174,229.8334622,229.837468,0.194648311,62.22161193,63.16301703,62,9,121.000305,2012350,1.715489977,3.894333333,,,,
60,10000,75,5.16,5.136666667,121.551669,8.226954086,226.6042053,225.7397489,225.743701,0.194348943,62.43704064,63.48742903,62.21,8,121.411572,2033730,1.731226159,3.712666667,,,,
60,10000,75,5.16,5.205,121.343353,8.241077696,219.3713886,222.0859069,222.090098,0.192119288,63.15921524,63.61453498,62.92,8,121.176744,2034780,1.744472113,3.756833333,,,,
60,10000,75,5.16,5.011666667,121.397391,8.23740932,209.0218418,212.4475508,212.451726,0.199387451,60.84032579,61.18038238,60.61,8,121.246408,2021630,1.696081433,3.806,,,,
60,10000,75,5.16,5.175,121.4695,8.232519274,220.9264069,221.3446625,221.34877,0.193110528,62.86046625,62.58251489,62.64,8,121.341262,2035520,1.739900758,4.054833333,,,,
70,10000,75,6.02,6.14,121.314079,8.24306633,290.9008289,293.9629581,293.966271,0.162817494,74.48684451,72.76428281,74.19,12,121.185005,2043010,1.95084298,4.637333333,,,,
70,10000,75,6.02,5.916666667,121.128493,8.255695875,259.4357867,264.3281516,264.33152,0.169012907,71.66769169,70.84917617,71.28,10,120.997375,2041680,1.897911515,4.442333333,,,,
70,10000,75,6.02,6.075,121.273023,8.245856954,301.6064114,300.1182708,300.121742,0.164572717,73.67336147,73.77588808,73.37,13,121.123311,2055280,1.944274367,4.292666667,,,,
70,10000,75,6.02,6.275,120.795202,8.278474504,282.2649119,289.4442724,289.447796,0.159347482,75.79898926,74.85061745,75.54,13,120.723446,2052570,1.981499926,4.742833333,,,,
70,10000,75,6.02,6.005,121.062991,8.260162678,299.2973225,294.584318,294.587838,0.166522264,72.6983261,72.02719578,72.46,14,120.992475,2048340,1.923361742,4.574333333,,,,
70,10000,75,6.02,6.041666667,120.961927,8.267064066,272.1869516,275.5910525,275.594363,0.165465062,73.08116423,73.50710247,72.72,11,120.892258,2047520,1.927489767,4.7525,,,,
70,10000,75,6.02,5.858333333,121.076584,8.259235328,280.2625965,277.7067939,277.711228,0.17068738,70.93069879,70.78651685,70.7,10,121.004459,2044030,1.889036174,4.603833333,,,,
70,10000,75,6.02,6.146666667,120.943826,8.268301352,297.4155764,296.8613854,296.865493,0.162673718,74.34013838,74.66449776,74.09,12,120.873525,2045930,1.951000872,4.811666667,,,,
70,10000,75,6.02,5.948333333,121.123709,8.256021949,282.6317469,281.9540918,281.956143,0.168032354,72.04841957,72.40509875,71.82,13,121.054524,2046580,1.910739634,4.650666667,,,,
70,10000,75,6.02,5.856666667,121.226828,8.248999141,276.8026729,275.0121453,275.015651,0.170739548,70.99851227,71.13387395,70.77,10,121.157395,2036510,1.88549277,4.703833333,,,,
80,10000,75,6.88,6.81,120.903016,8.271092261,447.5177301,440.469075,440.472022,0.146828262,82.3349539,83.13960602,82.04,18,120.833704,2060980,2.104562491,5.191333333,,,,
80,10000,75,6.88,6.83,120.656053,8.28802182,433.4871648,428.8332007,428.837489,0.146355663,82.4080842,81.73722093,82.11,27,120.584971,2056080,2.102213951,5.0275,,,,
80,10000,75,6.88,6.91,121.124372,8.255976758,389.165762,395.8205643,395.823597,0.144705534,83.69694105,83.85385265,83.26,13,121.053419,2064090,2.128911585,4.899333333,,,,
80,10000,75,6.88,6.775,120.813404,8.277227252,344.7604517,353.296219,353.299218,0.147597746,81.85108121,81.92104292,81.43,14,120.744465,2061780,2.094134946,5.02,,,,
80,10000,75,6.88,7.025,121.020418,8.263068468,412.5429328,421.2195514,421.222607,0.142304824,85.01684365,84.616297,84.71,14,120.948915,2069130,2.1589587,5.5105,,,,
80,10000,75,6.88,6.893333333,120.904212,8.271010443,394.3288285,400.1000544,400.102945,0.144921887,83.34330347,83.28296869,83.05,14,120.836284,2058140,2.120679337,5.222833333,,,,
80,10000,75,6.88,6.85,120.845742,8.275012288,428.2605434,426.0048738,426.007931,0.145907499,82.77933327,82.94611361,82.48,17,120.77524,2063730,2.114542171,5.032,,,,
80,10000,75,6.88,7.135,120.977266,8.266015865,475.21151,479.6031811,479.606877,0.140096274,86.31727929,86.26649539,86,15,120.907117,2067350,2.180966738,5.112166667,,,,
80,10000,75,6.88,6.826666667,120.890589,8.271942492,487.9057866,473.2277058,473.231575,0.146429436,82.52797542,82.94885878,82.23,22,120.822065,2063120,2.10957248,4.779333333,,,,
80,10000,75,6.88,6.78,120.964364,8.266897514,434.0492082,428.6102083,428.614594,0.147462137,82.01383879,82.14329606,81.73,18,120.894465,2061110,2.099061358,5.307666667,,,,
90,10000,75,7.74,7.875,121.137266,8.255097981,1293.59621,1299.79001,1299.792592,0.126978788,95.39559698,95.13279018,94.87,47,121.067234,2079770,2.352139037,6.091166667,,,,
90,10000,75,7.74,7.62,121.114429,8.256654539,774.3858426,779.2790322,779.281834,0.131194393,92.2891949,92.71733188,91.79,26,121.045737,2079550,2.29584696,5.519833333,,,,
90,10000,75,7.74,7.74,120.790411,8.27880286,1170.49618,1159.811859,1159.815437,0.1291946,93.49177811,93.49768543,92.98,37,120.722322,2076270,2.314793686,5.752666667,,,,
90,10000,75,7.74,7.755,121.039449,8.261769268,997.0379955,1001.058262,1001.060929,0.128899764,93.8660927,93.5962179,93.35,31,120.970285,2075660,2.321013228,5.951166667,,,,
90,10000,75,7.74,7.715,120.804626,8.277828698,769.082325,782.7863284,782.788893,0.129521716,93.20076896,92.58019225,92.84,30,120.735309,2072870,2.309421424,5.791,,,,
90,10000,75,7.74,7.785,120.948218,8.268001104,939.3244033,948.6741013,948.676839,0.128433824,94.15818771,94.56277427,93.64,27,120.879852,2076360,2.326872726,5.4325,,,,
90,10000,75,7.74,7.76,121.069677,8.259706516,1023.787832,1028.479958,1028.483568,0.128865505,93.95006935,93.7506711,93.59,33,120.999824,2079430,2.328535242,5.263,,,,
90,10000,75,7.74,7.67,120.851778,8.274598989,985.675406,979.2372887,979.240979,0.130357859,92.69331373,92.8299837,92.34,40,120.782782,2074170,2.301417529,5.775,,,,
90,10000,75,7.74,7.851666667,120.823421,8.276541019,1068.752568,1077.974297,1077.977097,0.127335056,94.86652272,94.46036294,94.34,29,120.754621,2079740,2.342458202,5.405333333,,,,
90,10000,75,7.74,7.68,120.862627,8.273856235,796.3799908,806.3908698,806.393538,0.130205904,92.82249754,92.81761962,92.32,33,120.795219,2073130,2.300194452,5.465833333,,,,
100,10000,75,8.1,8.18,120.7512,8.281491,4040.045,4055.851,4055.853,0.122216,98.77449,98.71651,98.35,80,120.6702,2080660,2.416320164,6.379666667,,,,
100,10000,75,8.1,8.135,120.7734,8.279968,2836.242,2847.511,2847.514,0.122923,98.24917,97.3164,96.87,62,120.6941,2074880,2.384337769,5.815833333,,,,
100,10000,75,8.1,7.948333,120.9366,8.268795,1135.267,1155.614,1155.617,0.125797,96.12445,96.26795,95.72,34,120.857,2074430,2.363051016,5.825166667,,,,
100,10000,75,8.1,8.226667,121.0054,8.264097,5675.207,5717.322,5717.325,0.121536,99.54707,98.92636,98.47,105,120.9264,2079620,2.417591526,5.759,,,,
100,10000,75,8.1,8.1,120.9693,8.266562,3691.956,3685.529,3685.531,0.123439,97.98511,98.08662,97.41,65,120.89,2076860,2.39587734,5.850666667,,,,
100,10000,75,8.1,8.14,120.6315,8.289707,4240.046,4228.529,4228.532,0.122797,98.19406,98.45429,97.78,96,120.5532,2078000,2.40360543,6.044,,,,
100,10000,75,8.1,8.183333,120.9947,8.264822,2580.973,2618.913,2618.915,0.122152,99.01403,99.0836,98.6,58,120.9163,2080190,2.420462224,6.059,,,,
100,10000,75,8.1,8.293333,120.8341,8.275809,4217.628,4289.159,4289.161,0.12057,100.2117,99.17613,98.97,66,120.7559,2081060,2.427974072,5.780666667,,,,
100,10000,75,8.1,8.055,120.9726,8.266331,1458.949,1487.347,1487.349,0.124146,97.44347,97.0001,96.56,39,120.8927,2075110,2.378902156,5.9605,,,,
100,10000,75,8.1,8.008333,120.8903,8.271964,1549.045,1563.885,1563.888,0.124837,96.81296,96.0462,95.94,53,120.8092,2071610,2.364628141,6.0785,,,,
